TimeInterval,GantryFrom,GantryTo,VehicleType,TravelTime,TrafficFlow,SpaceMeanSpeed
2023/04/24 19:55,01F0880S,01F0928S,32,184,25,93
2023/07/19 01:35,01F0264S,01F0293S,42,112,9,90
2023/06/24 10:30,01F0532S,01F0557S,41,117,1,75
2023/04/05 12:40,01F0376S,01F0413S,32,145,34,90
2023/07/28 10:00,01F0376S,01F0413S,42,204,24,63
2023/01/15 07:00,01F0511S,01F0532S,5,88,1,82
2023/02/19 06:15,01F0928S,01F0950S,41,82,2,93
2023/08/03 05:10,01F0557S,01F0578S,31,77,22,95
2023/01/14 05:15,01F0264S,01F0293S,31,101,91,100
2023/07/13 15:15,01F0664S,01F0681S,5,69,16,86
2023/07/29 12:40,01F0376S,01F0413S,42,190,14,68
2023/04/02 03:55,01F0264S,01F0293S,41,134,1,75
2023/06/17 21:35,01F0467S,01F0492S,42,104,3,86
2023/09/29 18:15,01F0699S,01F0750S,5,212,2,84
2023/02/07 09:55,01F0467S,01F0492S,32,96,86,91
2023/11/19 06:05,01F0339S,01F0376S,32,132,39,100
2023/08/05 23:45,01F0376S,01F0413S,42,181,2,72
2023/03/11 17:00,01F0413S,01F0467S,41,227,8,82
2023/05/03 17:00,01F0633S,01F0664S,31,119,136,93
2023/03/05 04:30,01F0532S,01F0557S,41,0,0,0
2023/06/11 18:50,01F0376S,01F0413S,31,162,240,79
2023/12/27 08:15,01F0664S,01F0681S,5,72,10,82
2023/10/05 22:25,01F0750S,01F0880S,31,450,115,100
2023/09/08 20:10,01F0467S,01F0492S,32,93,56,93
2023/02/27 02:20,01F0578S,01F0633S,32,196,1,100
2023/11/21 18:30,01F0681S,01F0699S,5,78,8,81
2023/09/27 00:30,01F0511S,01F0532S,32,74,8,99
2023/11/16 09:40,01F0376S,01F0413S,32,263,71,50
2023/09/15 08:30,01F0511S,01F0532S,41,207,11,36
2023/06/07 21:50,01F0664S,01F0681S,41,63,2,95
2023/08/01 20:25,01F0492S,01F0511S,5,80,8,84
2023/10/01 18:00,01F0532S,01F0557S,5,105,2,84
2023/11/01 18:35,01F0376S,01F0413S,31,308,184,43
2023/01/22 04:15,01F0928S,01F0950S,5,0,0,0
2023/05/01 11:05,01F0492S,01F0511S,5,76,12,88
2023/08/21 03:15,01F0339S,01F0376S,41,124,1,104
2023/05/16 21:15,01F0950S,01F0980S,41,114,3,93
2023/10/07 17:20,01F0880S,01F0928S,31,209,277,79
2023/09/02 13:10,01F0413S,01F0467S,32,205,55,93
2023/08/25 01:10,01F0492S,01F0511S,31,71,35,93
2023/09/12 09:45,01F0532S,01F0557S,42,177,34,48
2023/05/10 15:05,01F0511S,01F0532S,41,91,6,81
2023/01/15 18:25,01F0339S,01F0376S,41,160,11,82
2023/11/18 17:20,01F0293S,01F0339S,5,505,5,32
2023/08/29 15:05,01F0511S,01F0532S,32,89,82,82
2023/09/28 19:25,01F0633S,01F0664S,31,161,165,68
2023/11/16 03:55,01F0928S,01F0950S,5,89,8,86
2023/06/17 09:25,01F0293S,01F0339S,41,254,11,64
2023/01/01 23:00,01F0532S,01F0557S,42,88,3,100
2023/03/07 10:25,01F0293S,01F0339S,31,183,198,90
2023/03/02 03:00,01F0376S,01F0413S,41,0,0,0
2023/08/20 19:50,01F0880S,01F0928S,5,256,2,66
2023/05/29 01:25,01F0339S,01F0376S,31,127,56,102
2023/11/18 17:40,01F0664S,01F0681S,42,78,6,77
2023/09/28 10:50,01F0339S,01F0376S,31,165,316,79
2023/06/02 20:05,01F0532S,01F0557S,31,112,274,79
2023/09/24 12:30,01F0492S,01F0511S,32,72,48,93
2023/10/19 21:20,01F0511S,01F0532S,31,78,148,93
2023/11/18 21:40,01F0339S,01F0376S,41,168,9,79
2023/01/24 06:50,01F0413S,01F0467S,42,219,2,88
2023/06/18 13:30,01F0532S,01F0557S,42,115,4,77
2023/04/21 12:00,01F0750S,01F0880S,41,521,5,86
2023/02/26 23:10,01F0578S,01F0633S,42,228,4,84
2023/09/13 19:50,01F0699S,01F0750S,31,179,72,100
2023/05/30 03:00,01F0928S,01F0950S,42,81,16,95
2023/08/29 22:35,01F0950S,01F0980S,32,116,14,91
2023/10/01 20:20,01F0681S,01F0699S,41,72,4,88
2023/12/17 11:00,01F0532S,01F0557S,41,555,2,48
2023/09/04 14:55,01F0950S,01F0980S,31,108,139,97
2023/06/04 09:30,01F0750S,01F0880S,31,473,204,97
2023/08/21 21:30,01F0750S,01F0880S,31,460,161,100
2023/12/30 11:10,01F0950S,01F0980S,42,383,3,25
2023/10/12 01:20,01F0339S,01F0376S,32,131,7,100
2023/01/02 18:00,01F0681S,01F0699S,42,74,1,86
2023/09/21 11:05,01F0413S,01F0467S,5,229,6,82
2023/04/19 09:55,01F0557S,01F0578S,41,211,4,34
2023/04/07 17:35,01F0264S,01F0293S,5,128,7,79
2023/10/13 21:00,01F0532S,01F0557S,41,106,3,82
2023/06/14 13:55,01F0699S,01F0750S,32,184,43,97
2023/10/09 10:35,01F0633S,01F0664S,5,135,8,81
